Symbol,Sector,Industry
MMM,Industrials,Specialty Industrial Machinery
AXP,Financial Services,Credit Services
AAPL,Technology,Consumer Electronics
BA,Industrials,Aerospace & Defense
CAT,Industrials,Farm & Heavy Construction Machinery
CVX,Energy,Oil & Gas Integrated
CSCO,Technology,Communication Equipment
KO,Consumer Defensive,Beverages—Non-Alcoholic
XOM,Energy,Oil & Gas Integrated
GS,Financial Services,Capital Markets
HD,Consumer Cyclical,Home Improvement Retail
IBM,Technology,Information Technology Services
INTC,Technology,Semiconductors
JNJ,Healthcare,Drug Manufacturers—General
JPM,Financial Services,Banks—Diversified
MCD,Consumer Cyclical,Restaurants
MRK,Healthcare,Drug Manufacturers—General
MSFT,Technology,Software—Infrastructure
NKE,Consumer Cyclical,Footwear & Accessories
PFE,Healthcare,Drug Manufacturers—General
PG,Consumer Defensive,Household & Personal Products
TRV,Financial Services,Insurance—Property & Casualty
UNH,Healthcare,Healthcare Plans
UTX,Industrials,Aerospace & Defense
VZ,Communication Services,Telecom Services
V,Financial Services,Credit Services
WMT,Consumer Defensive,Discount Stores
WBA,Healthcare,Pharmaceutical Retailers
DIS,Communication Services,Entertainment
